Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
0433,Ин-Тайм,"ул. Энергетическая, 13",,Зеленодольск,,Днепропетровская область,UA,00000, (67) 619-83-51,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:09:00:15:00",,"Зеленодольск (склад № 1)",0 (800) 30-09-11,,,
2203,Ин-Тайм,"ул. Кооперативная, 1",,Каховка,,Херсонская область,UA,00000, (67) 618-84-24,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Каховка  (склад № 1)",0 (800) 30-09-11,,,
1713,Ин-Тайм,"ул. Советская, 43",,Лубны,,Полтавская область,UA,00000, (67) 619-02-11,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Лубны  (склад № 1)",0 (800) 30-09-11,,,
1714,Ин-Тайм,"ул. Кашинского, 21",,Миргород,,Полтавская область,UA,00000, (67) 619-04-41,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Миргород  (склад № 1)",0 (800) 30-09-11,,,
0817,Ин-Тайм,"ул. Ворошилова, 23",,Гуляйполе,,Запорожская область,UA,00000, (67) 618-83-87,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Гуляйполе (склад № 1)",0 (800) 30-09-11,,,
2112,Ин-Тайм,"ул. Плехановская, 12",,Харьков,,Харьковская область,UA,00000, (67) 612-44-28,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Плехановка (склад № 12 до 30кг)",0 (800) 30-09-11,,,
2118,Ин-Тайм,"пер. Купянский, 3",,Купянск,,Харьковская область,UA,00000, (67) 619-78-42,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:08:00:15:00",,"Купянск (склад № 1)",0 (800) 30-09-11,,,
1407,Ин-Тайм,"ул. Шевченко, 88г",,Стрый,,Львовская область,UA,00000, (67) 619-76-22,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Стрый  (склад № 1)",0 (800) 30-09-11,,,
1202,Ин-Тайм,"ул. Куйбышева, 89",,Александрия,,Кировоградская область,UA,00000, (52) 354-12-45,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:30:18:00,3:08:30:18:00,4:08:30:18:00,5:08:30:18:00,6:08:30:18:00,7:08:30:14:00",,"Александрия  (склад № 1)",0 (800) 30-09-11,,,
2115,Ин-Тайм,"ул. Полтавский шлях, 115",,Харьков,,Харьковская область,UA,00000, (67) 612-40-03,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Холодная гора (склад № 15 до 30кг)",0 (800) 30-09-11,,,
1805,Ин-Тайм,"пер. Артиллерийский, 4а",,Костополь,,Ровенская область,UA,00000, (67) 614-15-16,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Костополь (склад № 1)",0 (800) 30-09-11,,,
1002,Ин-Тайм,"ул. Киевский шлях, 10",,Борисполь,,Киевская область,UA,00000, (67) 614-14-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Борисполь  (склад № 1)",0 (800) 30-09-11,,,
2110,Ин-Тайм,"бул. Б.Хмельницкого, 8",,Харьков,,Харьковская область,UA,00000, (67) 614-14-83,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Новые Дома (склад № 10 до 30кг)",0 (800) 30-09-11,,,
0546,Ин-Тайм,"ул. Коминтерна, 1",,Красноармейск,,Донецкая область,UA,00000, (67) 617-68-55,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Красноармейск Коминтерна, (склад № 2 до 30кг)",0 (800) 30-09-11,,,
0916,Ин-Тайм,"ул. Школьная, 4Б",,Рожнятов,,Ивано-Франковская область,UA,00000, (67) 617-22-15,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Рожнятов (склад № 1)",0 (800) 30-09-11,,,
1803,Ин-Тайм,"ул. Зирненская, 6",,Березно,,Ровенская область,UA,00000, (67) 610-94-91,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Березно  (склад № 1)",0 (800) 30-09-11,,,
0425,Ин-Тайм,"ул. Октябрьская, 29",,Вольногорск,,Днепропетровская область,UA,00000, (67) 610-94-66,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Вольногорск  (склад № 1)",0 (800) 30-09-11,,,
1107,Ин-Тайм,"пр. А. Палладина, 32б",,Киев,,Киев,UA,00000, (67) 617-21-55,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Академгородок (склад № 7 до 30кг)",0 (800) 30-09-11,,,
0426,Ин-Тайм,"ул. Шевченко, 27а",,Синельниково,,Днепропетровская область,UA,00000, (67) 610-94-89,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Синельниково (склад № 1)",0 (800) 30-09-11,,,
0215,Ин-Тайм,"ул. Энгельса, 20",,Гайсин,,Винницкая область,UA,00000, (67) 617-22-83,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Гайсин (склад № 1)",0 (800) 30-09-11,,,
1323,Ин-Тайм,"ул. Ленина, 8",,Попасная,,Луганская область,UA,00000, (67) 612-73-14,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:16:00,3:08:00:16:00,4:08:00:16:00,5:08:00:16:00,6:08:00:16:00,7:08:00:15:00",,"Попасная (склад № 1)",0 (800) 30-09-11,,,
1419,Ин-Тайм,"ул. Драгана, 4б",,Львов,,Львовская область,UA,00000, (67) 612-73-01,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Львов Сихов (склад № 6 до 30кг)",0 (800) 30-09-11,,,
1213,Ин-Тайм,"ул. Куйбышева, 180",,Гайворон,,Кировоградская область,UA,00000, (67) 612-73-15,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:08:00:14:00",,"Гайворон (склад № 1)",0 (800) 30-09-11,,,
0428,Ин-Тайм,"ул. С.Маркова, 5",,Терновка,,Днепропетровская область,UA,00000, (67) 612-73-04,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Терновка (склад № 1)",0 (800) 30-09-11,,,
2410,Ин-Тайм,"ул. Почтовая, 9",,Лысянка,,Черкасская область,UA,00000, (67) 612-73-11,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Лысянка (склад № 1)",0 (800) 30-09-11,,,
2120,Ин-Тайм,"ул. Привокзальная, 5",,Змиёв,,Харьковская область,UA,00000, (67) 612-73-08,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Змиёв  (склад № 1)",0 (800) 30-09-11,,,
1009,Ин-Тайм,"ул. Чехова, 3а",,Васильков,,Киевская область,UA,00000, (67) 612-73-10,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Васильков  (склад № 1)",0 (800) 30-09-11,,,
2315,Ин-Тайм,"ул .Подольская, 36 Е/1",,Новая Ушица,,Хмельницкая область,UA,00000, (67) 617-68-57,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Новая Ушица (склад № 1)",0 (800) 30-09-11,,,
1115,Ин-Тайм,"ул. Голосеевская, 7",,Киев,,Киев,UA,00000, (67) 619-34-66,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Киев Демеевская (склад № 15 до 30кг)",0 (800) 30-09-11,,,
0813,Ин-Тайм,"ул. Коммунаров, 63/4",,Бердянск,,Запорожская область,UA,00000, (67) 619-75-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Бердянск Коммунаров (склад № 2 до 30кг)",0 (800) 30-09-11,,,
1209,Ин-Тайм,"ул. Ленина, 44б",,Голованевск,,Кировоградская область,UA,00000, (67) 611-08-15,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:08:00:14:00",,"Голованевск (склад № 1)",0 (800) 30-09-11,,,
2202,Ин-Тайм,"ул. 1 Мая, 218",,Берислав,,Херсонская область,UA,00000, (67) 619-75-43,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Берислав  (склад № 1)",0 (800) 30-09-11,,,
0422,Ин-Тайм,"ул. Ногина, 17",,Кривой Рог,,Днепропетровская область,UA,00000, (67) 611-53-05,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Кривой Рог Ногина (склад № 3 до 30кг)",0 (800) 30-09-11,,,
0835,Ин-Тайм,"Хортицкое шоссе, 46, бокс 46",,Запорожье,,Запорожская область,UA,00000, (67) 612-95-37,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Запорожье Хортицкое (склад № 10 до 30кг)",0 (800) 30-09-11,,,
1606,Ин-Тайм,"ул. Нежинская, 30",,Одесса,,Одесская область,UA,00000, (67) 619-05-34,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Одесса Нежинская (склад № 6 до 30кг)",0 (800) 30-09-11,,,
0705,Ин-Тайм,"ул. Мужайская, 54а",,Берегово,,Закарпатская область,UA,00000, (67) 619-53-79,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Берегово  (склад № 1)",0 (800) 30-09-11,,,
1703,Ин-Тайм,"ул. Ватутина, 2 ",,Полтава,,Полтавская область,UA,00000, (67) 619-33-27,http://www.intime.ua,Почтовая служба,Курьерская служба,пн-пт  8:00-19:00, сб  8:00-14:00, вс  выходной,,"Полтава Октябрьская (склад № 3 до 30кг)",0 (800) 30-09-11,,,
0404,Ин-Тайм,"пр. Пушкина, 1",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 619-72-67,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Днепропетровск Пушкина (склад № 4 до 30кг)",0 (800) 30-09-11,,,
1117,Ин-Тайм,"ул. Ильинская, 12",,Киев,,Киев,UA,00000, (67) 619-31-39,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Контрактовая (склад № 17 до 30кг)",0 (800) 30-09-11,,,
2109,Ин-Тайм,"ул. 23 августа, 13",,Харьков,,Харьковская область,UA,00000, (67) 619-26-94,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков 23 августа (склад № 9 до 30кг)",0 (800) 30-09-11,,,
1508,Ин-Тайм,"ул. Корабельная, 27.",,Первомайск,,Николаевская область,UA,00000, (67) 610-05-79,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Первомайск Корабельная (Ник. обл.) (склад № 2 до 30кг)",0 (800) 30-09-11,,,
0802,Ин-Тайм,"ул. Кирова, 31а",,Запорожье,,Запорожская область,UA,00000, (67) 617-10-44,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Запорожье Анголенко (склад № 2)",0 (800) 30-09-11,,,
1607,Ин-Тайм,"Промрынок 7й км, ""Гора"", ул.Подгорная",,Одесса,,Одесская область,UA,00000, (48) 799-51-61,http://www.intime.ua,Почтовая служба,Курьерская служба,"1:07:00:15:00,2:07:00:15:00,3:07:00:15:00,4:07:00:15:00,5:07:00:15:00,7:07:00:15:00",,"Одесса 7-ой км. (склад № 7)",0 (800) 30-09-11,,,
2507,Ин-Тайм,"ул. П.Сагайдачного, 2",,Щорс,,Черниговская область,UA,00000, (67) 612-78-37,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:08:00:14:00",,"Щорс (склад № 1)",0 (800) 30-09-11,,,
1114,Ин-Тайм,"ул. Дегтяренко, 14б",,Киев,,Киев,UA,00000, (67) 612-77-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Дегтяренко (склад № 14 до 30кг)",0 (800) 30-09-11,,,
0702,Ин-Тайм,"ул. Заньковецкой, 48а",,Ужгород,,Закарпатская область,UA,00000, (67) 612-78-28,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Ужгород Заньковецкой (склад № 2 до 30кг)",0 (800) 30-09-11,,,
2425,Ин-Тайм,"ул. Шевченко, 13",,Маньковка,,Черкасская область,UA,00000, (67) 617-68-60,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Маньковка (склад № 1)",0 (800) 30-09-11,,,
2316,Ин-Тайм,"ул. Чапаева, 60",,Ярмолинцы,,Хмельницкая область,UA,00000, (67) 619-41-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Ярмолинцы (склад № 1)",0 (800) 30-09-11,,,
0439,Ин-Тайм,"ул. Амбулаторная, 4",,Томаковка,,Днепропетровская область,UA,00000, (67) 617-68-56,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Томаковка (склад № 1)",0 (800) 30-09-11,,,
1417,Ин-Тайм,"ул. Мышуги, 18",,Радехов,,Львовская область,UA,00000, (67) 617-23-26,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Радехов (склад № 1)",0 (800) 30-09-11,,,
1618,Ин-Тайм,"ул. Ленина, 18",,Килия,,Одесская область,UA,00000, (67) 617-23-19,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Килия (склад № 1)",0 (800) 30-09-11,,,
1906,Ин-Тайм,"ул. Горького, 67",,Ромны,,Сумская область,UA,00000, (67) 617-23-18,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Ромны (склад № 1)",0 (800) 30-09-11,,,
0206,Ин-Тайм,"ул. 1 мая, 1а",,Хмельник,,Винницкая область,UA,00000, (67) 617-22-28,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Хмельник  (склад № 1)",0 (800) 30-09-11,,,
0212,Ин-Тайм,"ул. Пионерская, 29/5",,Ладыжин,,Винницкая область,UA,00000, (67) 617-22-82,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Ладыжин (склад № 1)",0 (800) 30-09-11,,,
0306,Ин-Тайм,"ул. Луцкая, 1",,Нововолынск,,Волынская область,UA,00000, (67) 618-84-01,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Нововолынск (склад № 1)",0 (800) 30-09-11,,,
1807,Ин-Тайм,"ул. Белгородская, 31",,Сарны,,Ровенская область,UA,00000, (67) 619-66-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Сарны (склад № 1)",0 (800) 30-09-11,,,
2117,Ин-Тайм,"ул. Энтузиастов, 21",,Изюм,,Харьковская область,UA,00000, (67) 617-20-10,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Изюм (склад № 1)",0 (800) 30-09-11,,,
1105,Ин-Тайм,"ул. Трублаини, 2а",,Киев,,Киев,UA,00000, (67) 617-22-27,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Борщаговка (склад № 5)",0 (800) 30-09-11,,,
0904,Ин-Тайм,"ул. Майданского, 12",,Коломыя,,Ивано-Франковская область,UA,00000, (3433) 4-93-06,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Коломыя  (склад № 1)",0 (800) 30-09-11,,,
2405,Ин-Тайм,"ул. Косиора, 26",,Смела,,Черкасская область,UA,00000, (67) 619-69-83,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Смела  (склад № 1)",0 (800) 30-09-11,,,
0406,Ин-Тайм,"ул. Вокзальная, 1",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 618-88-72,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Днепропетровск Правый (склад № 6)",0 (800) 30-09-11,,,
0710,Ин-Тайм,"ул. И.Франка, 185а",,Хуст,,Закарпатская область,UA,00000, (67) 617-17-36,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Хуст (склад № 1)",0 (800) 30-09-11,,,
0703,Ин-Тайм,"ул. Фурманова, 21",,Мукачево,,Закарпатская область,UA,00000, (67) 619-65-39,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Мукачево  (склад № 1)",0 (800) 30-09-11,,,
1001,Ин-Тайм,"ул. Фастовская, 23",,Белая Церковь,,Киевская область,UA,00000, (67) 619-37-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Белая Церковь (склад № 1)",0 (800) 30-09-11,,,
0418,Ин-Тайм,"ул. Героев Чернобыля, 102",,Никополь,,Днепропетровская область,UA,00000, (67) 619-35-37,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Никополь (склад № 1)",0 (800) 30-09-11,,,
1103,Ин-Тайм,"ул. Святошинская, 20",,Киев,,Киев,UA,00000, (67) 619-38-33,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Святошино (склад № 3)",0 (800) 30-09-11,,,
0222,Ин-Тайм,"ул. Святого Николая, 19",,Бар,,Винницкая область,UA,00000, (67) 617-16-19,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Бар Святого Николая (склад № 2)",0 (800) 30-09-11,,,
1503,Ин-Тайм,"ул. Кирова, 26",,Вознесенск,,Николаевская область,UA,00000, (5134) 3-22-99,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Вознесенск (склад № 1)",0 (800) 30-09-11,,,
1505,Ин-Тайм,"ул. Дружбы народов, 19а",,Южноукраинск,,Николаевская область,UA,00000, (67) 619-35-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Южноукраинск (склад № 1)",0 (800) 30-09-11,,,
0517,Ин-Тайм,"ул. Дзержинского, 43а",,Дзержинск,,Донецкая область,UA,00000, (67) 614-14-73,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Дзержинск (склад № 1)",0 (800) 30-09-11,,,
0409,Ин-Тайм,"пр. Труда, 2а",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 619-53-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Днепропетровск Труда (склад № 9)",0 (800) 30-09-11,,,
0415,Ин-Тайм,"ул. Днепровская, 172а",,Павлоград,,Днепропетровская область,UA,00000, (67) 617-17-11,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Павлоград  (склад № 1)",0 (800) 30-09-11,,,
1806,Ин-Тайм,"ул. Рыночная, 2",,Кузнецовск,,Ровенская область,UA,00000, (67) 617-17-63,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Кузнецовск (склад № 1)",0 (800) 30-09-11,,,
0524,Ин-Тайм,"ул. Свободы, 43",,Славянск,,Донецкая область,UA,00000, (95) 25-44-364,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Славянск (склад № 1 до 30кг)",0 (800) 30-09-11,,,
1003,Ин-Тайм,"ул. Кутузова, 8б",,Бровары,,Киевская область,UA,00000, (67) 619-64-46,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Бровары  (склад № 1)",0 (800) 30-09-11,,,
0518,Ин-Тайм,"ул. Привокзальная, 6",,Дружковка,,Донецкая область,UA,00000, (50) 182-43-92,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Дружковка (склад № 1)",0 (800) 30-09-11,,,
0402,Ин-Тайм,"ул. Г.Гражд.войны,5а",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 617-73-88,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Днепропетровск Березинка (склад № 2 до 30кг)",0 (800) 30-09-11,,,
0419,Ин-Тайм,"ул. Калинина, 47а",,Орджоникидзе,,Днепропетровская область,UA,00000, (67) 619-30-60,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Орджоникидзе (склад № 1)",0 (800) 30-09-11,,,
