Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
2504,Ин-Тайм,"ул. Красносельского, 1в",,Борзна,,Черниговская область,UA,00000, (67) 618-83-82,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Борзна (склад № 1)",0 (800) 30-09-11,,,
1113,Ин-Тайм,"ул. Попудренко, 20",,Киев,,Киев,UA,00000, (67) 618-84-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Киев Дарница (склад № 13 до 30кг)",0 (800) 30-09-11,,,
1116,Ин-Тайм,"ул. Драйзера, 24",,Киев,,Киев,UA,00000, (67) 618-84-06,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Драйзера (склад № 16 до 30кг)",0 (800) 30-09-11,,,
1414,Ин-Тайм,"ул. Юридика, 17",,Броды,,Львовская область,UA,00000, (67) 618-84-00,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Броды  (склад № 1)",0 (800) 30-09-11,,,
1101,Ин-Тайм,"ул. Корабельная, 3",,Киев,,Киев,UA,00000, (67) 617-14-45,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Корабельная (склад № 1)",0 (800) 30-09-11,,,
0808,Ин-Тайм,"ул. Счастливая, 13",,Запорожье,,Запорожская область,UA,00000, (67) 618-04-90,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Запорожье Счастливая (склад № 8 до 30кг)",0 (800) 30-09-11,,,
0417,Ин-Тайм,"пл. Привокзальная, 1",,Марганец,,Днепропетровская область,UA,00000, (5665) 2-33-76,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Марганец (склад № 1)",0 (800) 30-09-11,,,
2602,Ин-Тайм,"Калиновский рынок, сектор 8, кон 275276",,Черновцы,,Черновицкая область,UA,00000, (66) 741-64-46,http://www.intime.ua,Почтовая служба,Курьерская служба,"1:08:00:16:00,3:08:00:16:00,4:08:00:16:00,5:08:00:16:00,6:08:00:16:00,7:08:00:16:00",,"Черновцы Калиновский рынок (склад № 2)",0 (800) 30-09-11,,,
1008,Ин-Тайм,"ул. Черниговская, 10",,Славутич,,Киевская область,UA,00000, (67) 617-14-84,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Славутич  (склад № 1)",0 (800) 30-09-11,,,
1624,Ин-Тайм,"ул. Некрасова 1б",,Котовск,,Одесская область,UA,00000, (67) 617-78-84,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Котовск (склад № 1)",0 (800) 30-09-11,,,
2407,Ин-Тайм,"ул. Герцена, 33а",,Умань,,Черкасская область,UA,00000, (67) 619-14-54,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Умань  (склад № 1)",0 (800) 30-09-11,,,
1603,Ин-Тайм,"ул. Генерала Бочарова, 60",,Одесса,,Одесская область,UA,00000, (67) 612-45-99,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Одесса Бочарова (склад № 3 до 30кг)",0 (800) 30-09-11,,,
1605,Ин-Тайм,"Люстдорфская дорога, 90",,Одесса,,Одесская область,UA,00000, (67) 612-45-88,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Одесса Комарова (склад № 5 до 30кг)",0 (800) 30-09-11,,,
0505,Ин-Тайм,"ул. Красногвардейская, 4",,Волноваха,,Донецкая область,UA,00000, (67) 612-31-32,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Волноваха (склад № 1)",0 (800) 30-09-11,,,
1205,Ин-Тайм,"ул. Ленина, 108",,Новомиргород,,Кировоградская область,UA,00000, (67) 612-44-61,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Новомиргород (склад № 1)",0 (800) 30-09-11,,,
1416,Ин-Тайм,"ул. Бродовская, 19",,Золочев,,Львовская область,UA,00000, (67) 612-78-00,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Золочев (склад № 1)",0 (800) 30-09-11,,,
1622,Ин-Тайм,"ул. Капитана Салтыкова, 51",,Татарбунары,,Одесская область,UA,00000, (67) 618-09-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Татарбунары (склад № 1)",0 (800) 30-09-11,,,
